Incident ID,Location,Date,Crime,Address,Longitude,Latitude
UU2105449,"805 W GREEN ST, URBANA",4/6/2021,BURGLARY FROM MOTOR VEHICLE,"805 W Green St, Urbana, IL 61801, USA",-88.2185513,40.1103453
IF2100208,SECOND ST/GREEN ST Urbana champaign,4/7/2021,LIQUOR‐UNDERAGE,"S 2nd St & E Green St, Champaign, IL 61820, USA",-88.23704500000001,40.110231
UU2105371,"814 STOUGHTON ST, URBANA",4/5/2021,THEFT,"814 Stoughton St, Urbana, IL 61801, USA",-88.21916689999999,40.1137738
CC2109632,"55 E HEALEY ST, CHAMPAIGN",4/5/2021,BURGLARY,"55 E Healey St, Champaign, IL 61820, USA",-88.2395389,40.1111039
CC2109610,"1007 LOCUST ST, CHAMPAIGN",4/5/2021,THEFT,"1007 S Locust St, Champaign, IL 61820, USA",-88.240647,40.1058639
CC2109608,"59 E GREEN ST, CHAMPAIGN",4/5/2021,MOTOR VEHICLE THEFT,"59 E Green St, Champaign, IL 61820, USA",-88.2390064,40.1098957
CC2109594,"616 E GREEN ST, CHAMPAIGN",4/5/2021,THEFT,"616 E Green St, Champaign, IL 61820, USA",-88.2296109,40.1105931
UU2105208,"702 W ELM ST, URBANA",4/3/2021,CRIMINAL DAMAGE,"702 W Elm St, Urbana, IL 61801, USA",-88.2163319,40.1117102
II2102634,SCOTT RESIDENCE HALL Urbana champaign,2/25/2021,THEFT $500 AND UNDER,"202 E Peabody Dr, Champaign, IL 61820, USA",-88.2366612,40.1019657
CSA21‐029,ROGER ADAMS LAB Urbana champaign,SPRING 2021,STALKING,"600 S Mathews Ave Roger Adams Laboratory, Urbana, IL 61801, USA",-88.2247211,40.1074656
CSA21‐028,NUGENT RESIDENCE HALL Urbana champaign,4/4/2021,FONDLING,"Timothy J. Nugent Hall, 207 E Gregory Dr, Champaign, IL 61820, USA",-88.2370243,40.1039175
CC2109387,"51 E GREEN ST, CHAMPAIGN",4/4/2021,ROBBERY,"51 E Green St, Champaign, IL 61820, USA",-88.23989519999999,40.11000629999999
CC2109289,"58 E HEALEY ST, CHAMPAIGN",4/3/2021,BURGLARY,"58 E Healey St, Champaign, IL 61820, USA",-88.2392821,40.1116935
CC2109231,"112 E GREEN ST, CHAMPAIGN",4/2/2021,DISORDERLY CONDUCT,"112 E Green, 112 E Green St, Champaign, IL 61820, USA",-88.23748499999999,40.1104327
II2102604,NUGENT RESIDENCE HALL Urbana champaign,4/4/2021,BATTERY‐AGG DOMESTIC,"Timothy J. Nugent Hall, 207 E Gregory Dr, Champaign, IL 61820, USA",-88.2370243,40.1039175
II2102604,NUGENT RESIDENCE HALL Urbana champaign,4/4/2021,CRIMINAL DAMAGE TO PROPERTY,"Timothy J. Nugent Hall, 207 E Gregory Dr, Champaign, IL 61820, USA",-88.2370243,40.1039175
II2102604,NUGENT RESIDENCE HALL Urbana champaign,4/4/2021,BATTERY‐DOMESTIC,"Timothy J. Nugent Hall, 207 E Gregory Dr, Champaign, IL 61820, USA",-88.2370243,40.1039175
II2102602,JOHN / OAK Urbana champaign,4/4/2021,AGG FLEE/ATTEMPT ELUDE OFFICER,"404 W Green St, Urbana, IL 61801, USA",-88.21199349999999,40.1108435
CC2109389,"902 S SECOND ST, CHAMPAIGN",4/4/2021,BURGLARY,"902 S 2nd St, Champaign, IL 61820, USA",-88.23672429999999,40.1075407
IF2100197,"706 LOCUST ST, CHAMPAIGN",4/3/2021,BURGLARY FROM MOTOR VEHICLE,"706 S Locust St, Champaign, IL 61820, USA",-88.2399192,40.1095895
IF2100196,DAVID KINLEY HALL Urbana champaign,4/3/2021,LIQUOR‐UNDERAGE,"David Kinley Hall, 1407 W Gregory Dr, Urbana, IL 61801, USA",-88.22835429999999,40.1036264
II2102519,PARKING LOT A‐9 Urbana champaign,11/1/2020,THEFT $500 AND UNDER,"606 S 6th St, Champaign, IL 61820, USA",-88.2301909,40.1113022
II2102513,WILLARD AIRPORT Urbana champaign,4/1/2021,CONTROLLED SUBSTANCE‐POSSESSION,"Willard Airport, 11 Airport Rd, Savoy, IL 61874, USA",-88.26398789999999,40.03649619999999
IF2100192,WASSAJA RESIDENCE HALL Urbana champaign,4/1/2021,LIQUOR‐UNDERAGE,"1202 S 1st St, Champaign, IL 61820, USA",-88.2381795,40.1037194
CSA21‐027,UNKNOWN LOCATION Urbana champaign,3/27/2021,RAPE,"Champaign, IL, USA",-88.2271615,40.1019523
CSA21‐026,PRIVATE APARTMENT Urbana champaign,2021,RAPE,"901 W Western Ave, Urbana, IL 61801, USA",-88.2195564,40.1120694
CC2109012,"39 E CHALMERS, CHAMPAIGN",3/31/2021,HARASSMENT,"39 E Chalmers St, Champaign, IL 61820, USA",-88.2407265,40.1063973
CC2108951,"610 S FOURTH, CHAMPAIGN",3/31/2021,BURGLARY,"610 S 4th St, Champaign, IL 61820, USA",-88.23327200000001,40.11072
CSA21‐025,PRIVATE APARTMENT Urbana champaign,3/11/2021,RAPE,"901 W Western Ave, Urbana, IL 61801, USA",-88.2195564,40.1120694
CC2108841,"302 E JOHN ST, CHAMPAIGN",3/30/2021,THEFT,"Presiedential Towers/University Inn, 302 E John St, Champaign, IL 61820, USA",-88.2348478,40.1093134
CC2108837,"603 E GREEN ST, CHAMPAIGN",3/30/2021,RETAIL THEFT,"603 E Green St, Champaign, IL 61820, USA",-88.23010579999999,40.11017349999999
CC2108822,"616 E GREEN ST, CHAMPAIGN",3/30/2021,CRIMINAL DAMAGE,"616 E Green St, Champaign, IL 61820, USA",-88.2296109,40.1105931
CC2108814,"512 S THIRD ST, CHAMPAIGN",3/30/2021,DOMESTIC BATTERY,"512 S 3rd St, Champaign, IL 61820, USA",-88.2350299,40.1122154
CC2108330,00 blk of GREGORY DR Urbana champaign,3/20/2021,SEXUAL‐ASSAULT‐CRIMINAL,"1408 W Gregory Dr, Urbana, IL 61801, USA",-88.22901039999999,40.1047044
II2102501,TARGET Urbana champaign,3/30/2021,ASSIST OTHER POLICE DEPT,"2102 N Prospect Ave, Champaign, IL 61822, USA",-88.2547879,40.1419295
II2102476,TAFT RESIDENCE HALL Urbana champaign,3/29/2021,INTIMIDATION,"1215 S 4th St, Champaign, IL 61820, USA",-88.23365539999999,40.1017884
II2102476,TAFT RESIDENCE HALL Urbana champaign,3/29/2021,NON‐CONSENSUAL DISS SEX IMAGES,"1215 S 4th St, Champaign, IL 61820, USA",-88.23365539999999,40.1017884
II2102476,TAFT RESIDENCE HALL Urbana champaign,3/29/2021,HARASSMENT BY ELECTRONIC COMMUNICAT,"1215 S 4th St, Champaign, IL 61820, USA",-88.23365539999999,40.1017884
CC2108794,"503 STOUGHTON, CHAMPAIGN",3/29/2021,BURGLARY,"503 E Stoughton St, Champaign, IL 61820, USA",-88.2316271,40.113224
CC2108719,"601 S FOURTH, CHAMPAIGN",3/29/2021,THEFT,"601 S 4th St, Champaign, IL 61820, USA",-88.23392849999999,40.1112788
II2102471,ONE NORTH Urbana champaign,3/29/2021,ASSIST OTHER POLICE DEPT,"1601 N Lincoln Ave, Urbana, IL 61801, USA",-88.223107,40.1291728
II2102466,ASHTON WOODS PARKING LOT Urbana champaign,3/28/2021,TRESPASS‐VEHICLE,"2221 S 1st St, Champaign, IL 61820, USA",-88.2387619,40.0853593
II2102463,PSYCHOLOGY BUILDING Urbana champaign,10/23/2020,RECKLESS DISCHARGE OF A FIREARM,"Psychology Building, 603 E Daniel St, Champaign, IL 61820, USA",-88.2299551,40.107486
II2102463,PSYCHOLOGY BUILDING Urbana champaign,10/23/2020,CRIMINAL DAMAGE TO PROPERTY,"Psychology Building, 603 E Daniel St, Champaign, IL 61820, USA",-88.2299551,40.107486
II2102461,200 blk of PEABODY DR Urbana champaign,12/1/2019,SEXUAL‐ASSAULT‐CRIMINAL,"200 E Peabody Dr, Champaign, IL 61820, USA",-88.2365336,40.1019659
II2102460,ASHTON WOODS PARKING LOT Urbana champaign,3/28/2021,THEFT FROM MOTOR VEHICLE,"2221 S 1st St, Champaign, IL 61820, USA",-88.2387619,40.0853593
II2102442,CAFFE BENE Urbana champaign,11/1/2020,STALKING,"700 S Gregory St, Urbana, IL 61801, USA",-88.2212797,40.1061293
II2102442,CAFFE BENE Urbana champaign,11/1/2020,DISORDERLY CONDUCT‐ALL OTHER,"700 S Gregory St, Urbana, IL 61801, USA",-88.2212797,40.1061293
CC2108640,"54 E CHALMERS, CHAMPAIGN",3/28/2021,THREATS,"54 E Chalmers St, Champaign, IL 61820, USA",-88.2398051,40.1069073
CC2108628,"GREEN/THIRD, CHAMPAIGN",3/28/2021,THEFT,"907 S 3rd St, Champaign, IL 61820, USA",-88.235658,40.1073329
CC2108392,"616 E GREEN ST, CHAMPAIGN",3/26/2021,THEFT,"616 E Green St, Champaign, IL 61820, USA",-88.2296109,40.1105931
II2102449,WASSAJA RESIDENCE HALL Urbana champaign,3/28/2021,HARASSMENT BY ELECTRONIC COMMUNICAT,"1202 S 1st St, Champaign, IL 61820, USA",-88.2381795,40.1037194
II2102427,ILLINOIS ST / GOODWIN AVE Urbana champaign,3/28/2021,ASSIST OTHER POLICE DEPT,"S Goodwin Ave & W Illinois St, Urbana, IL 61801, USA",-88.223905,40.10903589999999
II2102362,STATE FARM CENTER Urbana champaign,3/26/2021,POSSESSION STOLEN PROPERTY,"1800 S 1st St, Champaign, IL 61820, USA",-88.2358984,40.0961996
CC2108286,"32 E GREEN, CHAMPAIGN",3/25/2021,THEFT,"32 E Green St, Champaign, IL 61820, USA",-88.2410412,40.1103865
CC2108250,"102 E GREEN ST, CHAMPAIGN",3/25/2021,DECEPTIVE PRACTICES,"102 E Green St, Champaign, IL 61820, USA",-88.23841619999999,40.1104381
II2102345,ILLINOIS STREET RESIDENCE Urbana champaign,3/24/2021,DECEPTIVE PRACTICES,"Illinois Street Residence Hall Commons, 1010 W Illinois St, Urbana, IL 61801, USA",-88.2218494,40.1101546
CC2108205,"410 E JOHN, CHAMPAIGN",3/24/2021,THEFT,"410 E John St, Champaign, IL 61820, USA",-88.23244509999999,40.1094677
01123‐2021,TOWNSEND RESIDENCE HALL Urbana champaign,3/24/2021,LIQUOR‐ILLEGAL POSS. BY MINOR,"918 W Illinois St, Urbana, IL 61801, USA",-88.2209503,40.1101503
01100‐2021,OGLESBY RESIDENCE HALL Urbana champaign,3/21/2021,LIQUOR‐UNDERAGE,"1005 W College Ct, Urbana, IL 61801, USA",-88.22118479999999,40.0991552
01050‐2021,HOPKINS RESIDENCE HALL Urbana champaign,3/20/2021,LIQUOR‐ILLEGAL POSS. BY MINOR,"1208 S 1st St, Champaign, IL 61820, USA",-88.23777919999999,40.102442
UU2104659,"810 W GREEN, URBANA",3/23/2021,DOMESTIC BATTERY,"810 W Green St, Urbana, IL 61801, USA",-88.2190146,40.1108513
LT20‐001,"515 OLD TIMBER RD, MONTICELLO, IL Urbana champaign",12/20/2020,THEFT FROM MOTOR VEHICLE,"515 Old Timber Rd, Monticello, IL 61856, USA",-88.6455154,40.0043105
II2102314,PARKING LOT B‐4 Urbana champaign,3/23/2021,DISORDERLY CONDUCT‐ALL OTHER,"1201 W University Ave, Urbana, IL 61801, USA",-88.2248908,40.1158597
CC2107986,"524 E GREEN, CHAMPAIGN",3/22/2021,HARASSMENT,"524 E Green St, Champaign, IL 61820, USA",-88.2310541,40.1105412
CC2107952,"512 S THIRD ST, CHAMPAIGN",3/16/2021,THEFT OF MV PARTS,"512 S 3rd St, Champaign, IL 61820, USA",-88.2350299,40.1122154
UU2104452,"101 S COLER, URBANA",3/20/2021,BATTERY,"101 S Coler Ave, Urbana, IL 61801, USA",-88.2163319,40.1121102
UU2104411,"904 STOUGHTON, URBANA",3/18/2021,THEFT $500 AND UNDER,"904 Stoughton St, Urbana, IL 61801, USA",-88.21985409999999,40.113831
IF2100171,ILLINI GROVE Urbana champaign,3/22/2021,DISORDERLY CONDUCT,"Illini Grove, Urbana, IL 61801, USA",-88.22041329999999,40.10172559999999
CSA21‐022,FRATERNITY Urbana champaign,3/21/2021,RAPE/DOMESTIC VIOLENCE/STALKING,"302 E Armory Ave, Champaign, IL 61820, USA",-88.23487999999999,40.105685
CC2107814,00 blk of GREGORY DR Urbana champaign,3/21/2021,BATTERY‐DOMESTIC,"1408 W Gregory Dr, Urbana, IL 61801, USA",-88.22901039999999,40.1047044
CC2107791,"407 E GREEN, CHAMPAIGN",3/21/2021,AGGRAVATED BATTERY,"407 E Green St, Champaign, IL 61820, USA",-88.2326599,40.1099958
CC2107737,"SECOND/JOHN, CHAMPAIGN",3/20/2021,AGGRAVATED BATTERY,"202 E John St, Champaign, IL 61820, USA",-88.23682989999999,40.1093821
CC2107564,"106 E GREEN, CHAMPAIGN",3/19/2021,CRIMINAL DAMAGE,"106 E Green St, Champaign, IL 61820, USA",-88.2379969,40.1103355
CC2107546,"211 E GREEN ST, CHAMPAIGN",1/21/2021,UNLAWFUL USE OF ID,"211 E Green St, Champaign, IL 61820, USA",-88.2356592,40.1100049
II2102251,PARKING LOT E‐6 Urbana champaign,3/18/2021,THEFT OF MOTOR VEH PARTS & ACCESS,"1201 W University Ave, Urbana, IL 61801, USA",-88.2248908,40.1158597
II2102249,POLLINARIUM Urbana champaign,3/13/2021,THEFT $500 AND UNDER,"Champaign, IL, USA",-88.2271615,40.1019523
II2102241,WHITE ST W / RANDOLPH ST S Urbana champaign,3/20/2021,FLEEING OR ATTEMPT TO ELUDE POLICE,"W White St, Champaign, IL, USA",-88.2625659,40.1144139
II2102229,JOE'S BREWERY Urbana champaign,3/19/2021,ASSIST OTHER POLICE DEPT,"706 S 5th St, Champaign, IL 61820, USA",-88.23175959999999,40.1097195
IF2100166,JOE'S BREWERY Urbana champaign,3/19/2021,BATTERY,"706 S 5th St, Champaign, IL 61820, USA",-88.23175959999999,40.1097195
CSA21‐021,RESIDENCE HALL Urbana champaign,1/23/2021,SEXUAL ASSAULT,"1010 W Illinois St, Urbana, IL 61801, USA",-88.22173529999999,40.1101128
IF2100164,SHERMAN RESIDENCE HALL Urbana champaign,3/18/2021,HARASSMENT,"909 S 5th St, Champaign, IL 61820, USA",-88.2323492,40.1070935
CC2107433,"314 E WHITE, CHAMPAIGN",3/17/2021,THEFT,"314 E White St, Champaign, IL 61820, USA",-88.2337573,40.1146165
CC2107426,"410 E JOHN, CHAMPAIGN",3/17/2021,THEFT OF MV PARTS,"410 E John St, Champaign, IL 61820, USA",-88.23244509999999,40.1094677
UU2104265,"105 N BUSEY, URBANA",3/16/2021,THEFT,"105 N Busey Ave, Urbana, IL 61801, USA",-88.21802600000001,40.1125209
